,Unnamed: 0,Product,RAM,ROM,Display,Back_camera,Processor,Battery
54,170,"OPPO A52 (Stream White, 128 GB)",6,128,16.51,12,665,5000
55,176,"POCO X2 (Phoenix Red, 128 GB)",6,128,16.94,64,730,4500
56,177,"Vivo Y20 (Obsidian Black, 64 GB)",6,64,16.54,13,460,5000
57,178,"Vivo Y20 (Purist Blue, 64 GB)",6,64,16.54,13,460,5000
58,183,"Vivo Y50 (Iris Blue, 128 GB)",8,128,16.59,13,665,5000
59,184,"Vivo Y50 (Pearl White, 128 GB)",8,128,16.59,13,665,5000
60,198,"Vivo S1 Pro (Jazzy Blue, 128 GB)",8,128,16.21,48,665,4500
61,199,"Vivo S1 Pro (Mystic Black, 128 GB)",8,128,16.21,48,665,4500
62,200,"OPPO A9 2020 (Space Purple, 128 GB)",8,128,16.51,48,665,5000
63,203,"POCO M2 Pro (Two Shades of Black, 64 GB)",4,64,16.94,48,720,5000
64,204,"Vivo Y20 (Obsidian Black, 64 GB)",4,64,16.54,13,460,5000
65,205,"Vivo Y20 (Dawn White, 64 GB)",4,64,16.54,13,460,5000
66,210,"Realme X3 (Glacier Blue, 128 GB)",8,128,16.69,64,855,4200
67,212,"Vivo U10 (Thunder Black, 32 GB)",3,32,16.13,13,665,5000
68,214,"POCO X2 (Matrix Purple, 64 GB)",6,64,16.94,64,730,4500
69,221,"OPPO A9 2020 (Vanilla Mint, 128 GB)",4,128,16.56,48,665,5000
70,224,"Realme 5i (Forest Green, 128 GB)",4,128,16.56,12,665,5000
71,225,"Realme 7 Pro (Sun Kissed Leather, 128 GB)",8,128,16.26,64,720,4500
72,234,"Realme X3 (Glacier Blue, 128 GB)",6,128,16.69,64,855,4200
73,235,"Redmi Note 8 (Space Black, 64 GB)",4,64,16.0,48,665,4000
74,236,"POCO X3 (Cobalt Blue, 64 GB)",6,64,16.94,64,732,6000
75,237,"Redmi 8 (Sapphire Blue, 64 GB)",4,64,15.8,12,439,5000
76,238,"Redmi 8 (Onyx Black, 64 GB)",4,64,15.8,12,439,5000
77,243,"POCO X2 (Matrix Purple, 256 GB)",8,256,16.94,64,730,4500
78,264,"Vivo Y20i (Nebula Blue, 64 GB)",3,64,16.54,13,460,5000
79,265,"Realme X3 (Arctic White, 128 GB)",8,128,16.69,64,855,4200
80,269,"Realme X3 SuperZoom (Arctic White, 256 GB)",12,256,16.69,64,855,4200
81,270,"OPPO F17 (Dynamic Orange, 128 GB)",8,128,16.36,16,662,4015
82,271,"Vivo Y20 (Purist Blue, 64 GB)",4,64,16.54,13,460,5000
83,272,"Redmi 8 (Ruby Red, 64 GB)",4,64,15.8,12,439,5000
84,283,"iQOO 3 (Tornado Black, 256 GB)",8,256,16.36,48,865,4440
85,284,"iQOO 3 (Quantum Silver, 256 GB)",8,256,16.36,48,865,4440
86,285,"Redmi Note 9 Pro (Interstellar Black, 128 GB)",4,128,16.94,48,720,5020
87,286,"Vivo Z1Pro (Sonic Blue, 64 GB)",6,64,16.59,16,712,5000
88,287,"Vivo Z1Pro (Sonic Blue, 64 GB)",4,64,16.59,16,712,5000
89,288,"Vivo Z1Pro (Sonic Black, 64 GB)",6,64,16.59,16,712,5000
90,289,"Vivo Z1Pro (Sonic Black, 64 GB)",4,64,16.59,16,712,5000
91,290,"OPPO F17 (Classic Silver, 128 GB)",6,128,16.36,16,662,4015
